mlb_id,titulo,custo_produto,preco_minimo_planilha,preco_venda_atual,suspeita_copiar_colar
MLB7297087912,"Espelho Grande De Parede Para Corpo Inteiro 100x40cm Ofertas Espelho Espelho",41.0000,154.3700,173.25,SIM
MLB7314817026,"Espelhos Decorativo Retangular Lapidado 100x40 - Vertical",41.0000,154.3700,171.53,SIM
MLB7313976860,"Agc Espelho Corpo Inteiro Provador Parede Loja 100x40 Cm Auto Colante",41.0000,154.3700,195.80,SIM
MLB7313976854,"Espelho Adesivo De Parede Corpo Inteiro 100x40 Loja Quarto Sala Neutro",41.0000,154.3700,195.80,SIM
MLB6654697330,"Espelho Para Colar Guarda Roupas 100x40 Corpo Inteiro Closet Espelho",41.0000,154.3700,195.80,SIM
MLB6574414098,"Espelho Grande De Parede Para Corpo Inteiro 100x40cm Ofertas Espelho Espelho",41.0000,154.3700,173.25,SIM
MLB6574534100,"Espelho Grande De Parede 100x40 Corpo Inteiro Quarto Closet Espelho",41.0000,154.3700,171.53,SIM
MLB6574499804,"Espelho Guarda Roupas Porta 100x40 Corpo Inteiro Closet Espelho",41.0000,154.3700,171.52,SIM
MLB6654697288,"Espelho Decorativo 100x40 Parede Quarto Sala Corpo Inteiro Espelho",41.0000,154.3700,195.80,SIM
MLB6526494930,"Guidão Honda Cg 160 Titan Fan Start 2025 2026 Com Rosca Cro Cromado",47.8500,134.9400,149.94,SIM
MLB4439459663,"Bagageiro Cg Fan Titan Start 160 2025 2026 Metal Reforçado Preto",90.6900,172.7900,191.99,NAO
MLB6526483148,"Cavalete Descanso Lateral Biz 100 Pop 100 110 Dream",14.5600,26.8100,29.79,NAO
MLB4421410197,"Cavalete Descanso Lateral Pezinho Moto Titan Fan 125 150 160",19.4200,62.9100,69.90,NAO
MLB4564060539,"Guidão Honda Titan Fan Start 160 2025 Com Rosca Awa Prateado Prateado",47.8500,134.9400,149.94,SIM
