prioridade,faixa,mlb_id,titulo,tipo_registro,status,substatus,forewarning_status,moderation_date,eligibility_status,eligibility_reason,visitas_dia_media_28d,visitas_dia_em_jogo,vendas_90d,receita_90d,avaliacoes_total,avaliacao_media,tem_sucessor,buy_box_sucessor,margem_estimada,kit_combo_titulo,catalog_product_id,listing_strategy,justificativa_faixa
1,A,MLB7313976860,Agc Espelho Corpo Inteiro Provador Parede Loja 100x40 Cm Auto Colante,novo_catalogo,active,,date_not_defined,,COMPETING,,0.036,5.118,0,0,40,4.7,já é sucessor,competing,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB46012032,catalog_required,5.118 visitas/dia em jogo; sucessor já migrou e perde buy box
2,A,MLB7313976854,Espelho Adesivo De Parede Corpo Inteiro 100x40 Loja Quarto Sala Neutro,novo_catalogo,active,,date_not_defined,,COMPETING,,0.107,4.079,0,0,242,4.5,já é sucessor,competing,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB40341813,catalog_required,4.079 visitas/dia em jogo; sucessor já migrou e perde buy box
3,B,MLB6574413814,Espelho Corpo Inteiro Parede Loja 100x40 Cm - Oferta Exclusi Botao,pending_historico,inactive,"waiting_for_patch,deleted",date_expired,2026-07-21T07:30:00.000Z,NOT_ELIGIBLE,status_not_active_nor_paused_by_stock_nor_under_review_by_buy_box,1.357,2.211,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB53370587,catalog_required,"2,211 visitas/dia históricas em jogo; item inativo e prazo expirado"
4,B,MLB7313976836,Espelhos Decorativo Retangular Lapidado 100x40 - Vertical,novo_catalogo,under_review,forbidden,date_not_defined,,INVALID,status_not_active_nor_paused_by_stock_nor_under_review_by_buy_box,0.0,0.0,0,0,0,0,já é sucessor,not_listed,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB70347111,catalog_required,"0 visita/dia, mas bloqueado under_review/DUPLIS antes de entrar na disputa"
5,C,MLB4586760165,Tampa Ralo Grelha Redonda 15 Cm Inox Função Abre / Fecha º Acabamento Cromado,pending_historico,closed,"waiting_for_patch,deleted",date_expired,2026-04-14T07:30:00.000Z,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB23379460,catalog_required,0 visita/dia em jogo e 0 venda/receita em 90d
6,C,MLB4586779589,Porta Toalha De Rosto De Vidro 8x8cm - 8mm Cor Incolor Incolor,pending_historico,closed,"waiting_for_patch,deleted",date_expired,2026-04-14T07:30:00.000Z,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB27586545,catalog_required,0 visita/dia em jogo e 0 venda/receita em 90d
7,C,MLB4586780367,Kit 4 Botão Francês Suporte Abs P/ Espelho + Bucha Parafuso Cromado,pending_historico,closed,"waiting_for_patch,deleted",date_expired,2026-04-14T07:30:00.000Z,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",sim,MLB25415254,catalog_required,0 visita/dia em jogo e 0 venda/receita em 90d
8,C,MLB6574413712,Ralo Grelha 10x10cm Inox Cromado Home Metais Anti Odor Para Banheiro,pending_historico,closed,"waiting_for_patch,deleted",date_expired,2026-04-14T07:30:00.000Z,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB34854026,catalog_required,0 visita/dia em jogo e 0 venda/receita em 90d
9,C,MLB6574414192,Prateleira Vidro Incolor 30x15cm Banheiro Elustre Porta Sha Incolor,pending_historico,closed,"waiting_for_patch,deleted",date_expired,2026-04-14T07:30:00.000Z,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB39766382,catalog_required,0 visita/dia em jogo e 0 venda/receita em 90d
10,C,MLB6574426300,Kit 2 Grelhas Ralo Quadrado 15x15 Abre Fecha Anti Odor Inox,pending_historico,closed,"waiting_for_patch,deleted",date_expired,2026-04-14T07:30:00.000Z,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",sim,MLB25198931,catalog_required,0 visita/dia em jogo e 0 venda/receita em 90d
11,C,MLB6574427040,Kit 2 Grelhas Ralo Quadrado 15x15 + 2 Porta Grelha Caixilho,pending_historico,closed,"waiting_for_patch,deleted",date_expired,2026-04-14T07:30:00.000Z,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",sim,MLB25548604,catalog_required,0 visita/dia em jogo e 0 venda/receita em 90d
12,C,MLB6574439602,Prateleira Porta Shampoo Reto Vidro Incolor 8mm Parede Para,pending_historico,closed,"waiting_for_patch,deleted",date_not_defined,,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",não,,,0 visita/dia em jogo e 0 venda/receita em 90d
13,C,MLB6574439628,Toalheiro Porta Toalha De Banho Em Vidro - 1 Peça Cor Incol Incolor,pending_historico,closed,"waiting_for_patch,deleted",date_expired,2026-04-14T07:30:00.000Z,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB58868781,catalog_required,0 visita/dia em jogo e 0 venda/receita em 90d
14,C,MLB6574452980,Ralo Tampa Grelha Aço Inox Quadrada 9.5cm Com Fecho Rotativo Paradise,pending_historico,closed,"waiting_for_patch,deleted",date_not_defined,,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB38715074,catalog_required,0 visita/dia em jogo e 0 venda/receita em 90d
15,C,MLB6574474638,Polinox Papeleira Porta Papel Higiênico Com Tampa Em Aço In Cinza-escuro,pending_historico,closed,"waiting_for_patch,deleted",date_expired,2026-04-14T07:30:00.000Z,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB29358056,catalog_required,0 visita/dia em jogo e 0 venda/receita em 90d
16,C,MLB6574474974,Suporte De Vidro - 50x10cm - Vidro Incolor Prateleira Incol Prateleira Incolor,pending_historico,closed,"waiting_for_patch,deleted",date_expired,2026-04-14T07:30:00.000Z,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",não,MLB29089991,catalog_required,0 visita/dia em jogo e 0 venda/receita em 90d
17,C,MLB6574488400,Espelho Para Quarto Corpo Inteiro 100x40cm + Kit Instalação Botão Frances,pending_historico,closed,"waiting_for_patch,deleted",date_not_defined,,CLOSED,item_status_closed,0.0,0.0,0,0,0,0,não confirmado,—,"sem dado: cost_price, min_price e product_costs ausentes",não,,,0 visita/dia em jogo e 0 venda/receita em 90d
